"","Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Broad_Bean_Origin","Bitter"
"85","AMMA","Catongo",1065,2013,75,"Brazil",3.25,"Brazil","yes"
"86","AMMA","Monte Alegre, 3 diff. plantations",572,2010,85,"Brazil",2.75,"Brazil","yes"
"87","AMMA","Monte Alegre, 3 diff. plantations",572,2010,50,"Brazil",3.75,"Brazil","no"
"88","AMMA","Monte Alegre, 3 diff. plantations",572,2010,75,"Brazil",3.75,"Brazil","yes"
"89","AMMA","Monte Alegre, 3 diff. plantations",572,2010,60,"Brazil",4,"Brazil","no"
"90","Anahata","Elvesia",1259,2014,75,"U.S.A.",3,"Dominican Republic","yes"
"91","Animas","Alto Beni",1852,2016,75,"U.S.A.",3.5,"Bolivia","yes"
"92","Ara","Madagascar",1375,2014,75,"France",3,"Madagascar","yes"
"93","Ara","Chiapas",1379,2014,72,"France",2.5,"Mexico","yes"
"94","Ara","Equateur",1379,2014,75,"France",2.75,"Ecuador","yes"
"95","Ara","Trincheras",1379,2014,75,"France",3,"Venezuela","yes"
"96","Arete","San Juan",1724,2016,70,"U.S.A.",3.5,"Trinidad","yes"
"97","Arete","Kokoa Kamili",1724,2016,70,"U.S.A.",3.75,"Tanzania","yes"
"98","Arete","Tien Giang",1900,2016,73,"U.S.A.",3.5,"Vietnam","yes"
"99","Arete","Hacienda Victoria",1904,2016,70,"U.S.A.",3.25,"Ecuador","yes"
"100","Arete","Costa Esmeraldas",1904,2016,70,"U.S.A.",3.25,"Ecuador","yes"
"101","Arete","Lachua",1904,2016,70,"U.S.A.",3.5,"Guatemala","yes"
"102","Arete","Rugoso",1904,2016,70,"U.S.A.",3.75,"Nicaragua","yes"
"103","Arete","La Masica, FHIA",1908,2016,70,"U.S.A.",3.5,"Honduras","yes"
"104","Arete","Coto Brus, Terciopelo",1908,2016,70,"U.S.A.",4,"Costa Rica","yes"
"105","Arete","Phantom",1924,2016,70,"U.S.A.",4,"Peru","yes"
"106","Arete","Elvesia",1928,2016,70,"U.S.A.",3.75,"Dominican Republic","yes"
"107","Arete","Matasawalevu",1928,2016,70,"U.S.A.",3.25,"Fiji","yes"
"108","Arete","Lam Dong",1928,2016,73,"U.S.A.",3.25,"Vietnam","yes"
"109","Arete","Fazenda Camboa",1534,2015,70,"U.S.A.",3.5,"Brazil","yes"
"110","Arete","Nacional",1534,2015,68,"U.S.A.",3.5,"Peru","yes"
"111","Arete","Puerto Quito, heirloom",1534,2015,70,"U.S.A.",3.75,"Ecuador","yes"
"112","Arete","Oko Caribe",1598,2015,70,"U.S.A.",3.5,"Domincan Republic","yes"
"113","Arete","Maya Mountain",1598,2015,70,"U.S.A.",3.75,"Belize","yes"
"114","Arete","Chuno",1598,2015,70,"U.S.A.",4,"Nicaragua","yes"
"115","Arete","Fazenda Camboa",1602,2015,75,"U.S.A.",2.75,"Brazil","yes"
"116","Arete","Guatemala",1602,2015,70,"U.S.A.",3.25,"Guatemala","yes"
"117","Arete","Camino Verde",1602,2015,75,"U.S.A.",3.5,"Ecuador","yes"
"118","Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,72,"U.K.",3.25,"Trinidad","yes"
"119","Artisan du Chocolat","Colombia, Casa Luker",947,2012,72,"U.K.",3.75,"Colombia","yes"
"120","Artisan du Chocolat","Haiti",729,2011,72,"U.K.",4,"Haiti","yes"
"121","Artisan du Chocolat","Panama",745,2011,72,"U.K.",2.75,"Panama","yes"
"122","Artisan du Chocolat","Venezuela",486,2010,100,"U.K.",1.75,"Venezuela","yes"
"123","Artisan du Chocolat","Jamaica",531,2010,72,"U.K.",3.75,"Jamaica","yes"
"124","Artisan du Chocolat","Costa Rica",600,2010,72,"U.K.",3.25,"Costa Rica","yes"
"125","Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,72,"U.K.",3.25,"Vietnam","yes"
"126","Artisan du Chocolat","Bali",600,2010,72,"U.K.",3.5,"Indonesia","yes"
"127","Artisan du Chocolat","Ocumare, Venezuela",355,2009,75,"U.K.",2.5,"Venezuela","yes"
"128","Artisan du Chocolat","Java",355,2009,72,"U.K.",2.75,"Indonesia","yes"
"129","Artisan du Chocolat","Brazil Rio Doce",363,2009,72,"U.K.",1.75,"Brazil","yes"
"130","Artisan du Chocolat","Madagascar",363,2009,80,"U.K.",3,"Madagascar","yes"
"131","Artisan du Chocolat","Peru",363,2009,75,"U.K.",3,"Peru","yes"
"132","Artisan du Chocolat","Dominican Republic",363,2009,72,"U.K.",3.25,"Dominican Republic","yes"
"133","Artisan du Chocolat","Congo",300,2008,72,"U.K.",3.75,"Congo","yes"
"134","Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,72,"U.K.",2.75,"Colombia","yes"
"135","Askinosie","Mababa",1780,2016,68,"U.S.A.",3.75,"Tanzania","yes"
"136","Askinosie","Tenende, Uwate",647,2011,72,"U.S.A.",3.75,"Tanzania","yes"
"137","Askinosie","Cortes",661,2011,70,"U.S.A.",3.75,"Honduras","yes"
"138","Askinosie","Davao",331,2009,77,"U.S.A.",3.75,"Philippines","yes"
"139","Askinosie","Xoconusco",141,2007,75,"U.S.A.",2.5,"Mexico","yes"
"140","Askinosie","San Jose del Tambo",175,2007,70,"U.S.A.",3,"Ecuador","yes"
"141","Bahen & Co.","Papua New Guinea",1474,2015,70,"Australia",3.5,"Papua New Guinea","yes"
"142","Bahen & Co.","Sambirano",995,2012,70,"Australia",3,"Madagascar","yes"
"143","Bahen & Co.","Bahia",999,2012,70,"Australia",2.5,"Brazil","yes"
"144","Bakau","Bambamarca, 2015",1454,2015,70,"Peru",2.75,"Peru","yes"
"145","Bakau","Huallabamba, 2015",1454,2015,70,"Peru",3.5,"Peru","yes"
"146","Bar Au Chocolat","Bahia",1554,2015,70,"U.S.A.",3.5,"Brazil","yes"
"147","Bar Au Chocolat","Maranon Canyon",1295,2014,70,"U.S.A.",4,"Peru","yes"
"148","Bar Au Chocolat","Duarte Province",983,2012,70,"U.S.A.",3.25,"Dominican Republic","yes"
"149","Bar Au Chocolat","Chiapas",983,2012,70,"U.S.A.",3.5,"Mexico","yes"
"150","Bar Au Chocolat","Sambirano",983,2012,70,"U.S.A.",3.75,"Madagascar","yes"
"151","Baravelli's","single estate",955,2012,80,"Wales",2.75,"Costa Rica","yes"
"152","Batch","Dominican Republic, Batch 3",1840,2016,65,"U.S.A.",3.5,"Domincan Republic","yes"
"153","Batch","Brazil",1868,2016,70,"U.S.A.",3.75,"Brazil","yes"
"154","Batch","Ecuador",1880,2016,65,"U.S.A.",3.25,"Ecuador","yes"
"155","Beau Cacao","Asajaya E, NW Borneo, b. #132/4500",1948,2017,73,"U.K.",3,"Malaysia","yes"
"156","Beau Cacao","Serian E., NW Borneo, b. #134/3800",1948,2017,72,"U.K.",3.25,"Malaysia","yes"
"157","Beehive","Brazil, Batch 20316",1784,2016,80,"U.S.A.",2.75,"Brazil","yes"
"158","Beehive","Dominican Republic, Batch 31616",1784,2016,70,"U.S.A.",2.75,"Domincan Republic","yes"
"159","Beehive","Ecuador, Batch 31516",1784,2016,70,"U.S.A.",2.75,"Ecuador","yes"
"160","Beehive","Ecuador",1788,2016,90,"U.S.A.",2.75,"Ecuador","yes"
"161","Belcolade","Costa Rica",586,2010,64,"Belgium",2.75,"Costa Rica","yes"
"162","Belcolade","Papua New Guinea",586,2010,64,"Belgium",2.75,"Papua New Guinea","yes"
"163","Belcolade","Peru",586,2010,64,"Belgium",2.75,"Peru","yes"
"164","Belcolade","Ecuador",586,2010,71,"Belgium",3.5,"Ecuador","yes"
"165","Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,70,"U.S.A.",3.5,"Tanzania","yes"
"166","Bellflower","Alto Beni, Palos Blanco",1804,2016,70,"U.S.A.",3.25,"Bolivia","yes"
"167","Bellflower","Oko Caribe, Duarte P.",1864,2016,70,"U.S.A.",3.5,"Domincan Republic","yes"
"168","Belyzium","Belize south, low fermentation",1768,2016,83,"Germany",2.75,"Belize","yes"
"169","Belyzium","Belize south",1768,2016,78,"Germany",3,"Belize","yes"
"170","Belyzium","Belize south",1768,2016,83,"Germany",3.5,"Belize","yes"
"171","Benoit Nihant","Baracoa",1141,2013,74,"Belgium",3.5,"Cuba","yes"
"172","Benoit Nihant","Chuao",1141,2013,74,"Belgium",3.5,"Venezuela","yes"
"173","Benoit Nihant","Cuyagua Village",1141,2013,74,"Belgium",3.5,"Venezuela","yes"
"174","Benoit Nihant","Rio Peripa H.",1141,2013,73,"Belgium",4,"Ecuador","yes"
"175","Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72,"Belgium",4,"Indonesia","yes"
"176","Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,72,"Belgium",3.75,"Madagascar","yes"
"177","Beschle (Felchlin)","Madagascar",636,2011,64,"Switzerland",3,"Madagascar","yes"
"178","Beschle (Felchlin)","Maracaibo",636,2011,88,"Switzerland",3,"Venezuela","yes"
"179","Beschle (Felchlin)","Indigena Amazonia, Grand Cru, Quizas",636,2011,72,"Switzerland",3.5,"Venezuela","yes"
"180","Beschle (Felchlin)","Ecuador",636,2011,72,"Switzerland",4,"Ecuador","yes"
"181","Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,70,"Switzerland",3.25,"Venezuela","yes"
"182","Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,74,"Switzerland",3.25,"Venezuela","yes"
"183","Beschle (Felchlin)","Java, Grand Cru",508,2010,64,"Switzerland",3.5,"Indonesia","yes"
"184","Beschle (Felchlin)","Ocumare, Premier Cru, Quizas No. 2",508,2010,72,"Switzerland",3.5,"Venezuela","yes"
"185","Bisou","Nicaragua, American style",1482,2015,76,"U.S.A.",2.5,"Nicaragua","yes"
"186","Bisou","San Andres, American style",1486,2015,76,"U.S.A.",2.5,"Costa Rica","yes"
"187","Bisou","San Andres, silk",1486,2015,78,"U.S.A.",2.5,"Costa Rica","yes"
"188","Bisou","Belize",1486,2015,86,"U.S.A.",3.25,"Belize","yes"
"189","Bittersweet Origins","Ghana",963,2012,72,"U.S.A.",3.5,"Ghana","yes"
"190","Bittersweet Origins","Bali, Singaraja",478,2010,75,"U.S.A.",3.25,"Indonesia","yes"
"191","Bittersweet Origins","2009 Hapa Nibby",502,2010,70,"U.S.A.",3.75,"Dominican Rep., Bali","yes"
"192","Bittersweet Origins","Bali, Singaraja",558,2010,65,"U.S.A.",2.75,"Indonesia","yes"
"193","Bittersweet Origins","Sambirano, 2009",565,2010,70,"U.S.A.",3,"Madagascar","yes"
"194","Bittersweet Origins","Ocumare, prototype",565,2010,78,"U.S.A.",3,"Venezuela","yes"
"195","Bittersweet Origins","Puerto Plata",414,2009,75,"U.S.A.",3,"Dominican Republic","yes"
"196","Bittersweet Origins","Puerto Plata",414,2009,65,"U.S.A.",3.5,"Dominican Republic","yes"
"197","Bittersweet Origins","Sambirano",423,2009,75,"U.S.A.",3.25,"Madagascar","yes"
"198","Bittersweet Origins","Sambirano",431,2009,65,"U.S.A.",3.5,"Madagascar","yes"
"199","Bittersweet Origins","Sambirano",233,2008,71,"U.S.A.",3,"Madagascar","yes"
"200","Bittersweet Origins","Bocas del Toro",233,2008,75,"U.S.A.",3.5,"Panama","yes"
"201","Bittersweet Origins","Puerto Plata",233,2008,68,"U.S.A.",3.75,"Dominican Republic","yes"
"202","Bittersweet Origins","Ankasa",256,2008,70,"U.S.A.",3,"Ghana","yes"
"203","Black Mountain","La Red",256,2008,70,"U.S.A.",2.75,"Dominican Republic","yes"
"204","Black Mountain","Carenero Superior",256,2008,70,"U.S.A.",2.75,"Venezuela","yes"
"205","Black Mountain","Matiguas",256,2008,70,"U.S.A.",3,"Nicaragua","yes"
"206","Black River (A. Morin)","Blue Mountain Region",1331,2014,70,"U.K.",2.75,"Jamaica","yes"
"207","Blanxart","Congo, Grand Cru",1046,2013,82,"Spain",3.5,"Congo","yes"
"208","Blue Bandana","Akesson's E., Sambirano V.",1740,2016,82,"U.S.A.",3.5,"Madagascar","yes"
"209","Blue Bandana","Lachua",1752,2016,75,"U.S.A.",2.75,"Guatemala","yes"
"210","Blue Bandana","Kokoa Kamili",1752,2016,75,"U.S.A.",3.5,"Tanzania","yes"
"211","Blue Bandana","Zorzal Reserva",1756,2016,75,"U.S.A.",3,"Dominican Republic","yes"
"212","Blue Bandana","Guatemala",911,2012,70,"U.S.A.",3.5,"Guatemala","yes"
"213","Blue Bandana","Madagascar",911,2012,70,"U.S.A.",3.75,"Madagascar","yes"
"214","Bonnat","Selva Maya",1912,2016,75,"France",3.5,"Mexico","yes"
"215","Bonnat","Kaori",1339,2014,75,"France",4,"Brazil","yes"
"216","Bonnat","Los Colorados, Santo Domingo, Equateur",1418,2014,75,"France",3.25,"Dominican Republic","yes"
"217","Bonnat","Surfin",1418,2014,65,"France",3.75,"Venez,Africa,Brasil,Peru,Mex","yes"
"218","Bonnat","Maragnam",1038,2013,75,"France",3.5,"Brazil","yes"
"219","Bonnat","Gabon",1042,2013,75,"France",3.25,"Gabon","yes"
"220","Bonnat","Cuba",629,2011,75,"France",3.5,"Cuba","yes"
"221","Bonnat","Cusco, Cacao Cusco",629,2011,75,"France",3.5,"Peru","yes"
"222","Bonnat","Piura Blanco",629,2011,75,"France",3.5,"Peru","yes"
"223","Bonnat","Libanio",629,2011,75,"France",3.75,"Brazil","yes"
"224","Bonnat","Haiti",629,2011,75,"France",4,"Haiti","yes"
"225","Bonnat","Madagascar, 100% criollo",629,2011,75,"France",4,"Madagascar","yes"
"226","Bonnat","Juliana",672,2011,75,"France",3.5,"Brazil","yes"
"227","Bonnat","Jamaique",761,2011,75,"France",3.25,"Jamaica","yes"
"228","Bonnat","Ivory Coast",331,2009,75,"France",3,"Ivory Coast","yes"
"229","Bonnat","Porcelana, Apotequil",336,2009,75,"France",2.75,"Peru","yes"
"230","Bonnat","Porcelana, Tabasco, Marfil de Blanco",336,2009,75,"France",3,"Mexico","yes"
"231","Bonnat","Xoconusco, cacao Real",395,2009,75,"France",3,"Mexico","yes"
"232","Bonnat","Porcelana, Venezuela",199,2008,75,"France",4,"Venezuela","yes"
"233","Bonnat","Equateur",123,2007,75,"France",2.5,"Ecuador","yes"
"234","Bonnat","Trinite",24,2006,75,"France",3.75,"Carribean","yes"
"235","Bonnat","Ocumare, Puerto Cabello",32,2006,75,"France",4,"Venezuela","yes"
"236","Bonnat","Maracaibo, El Rosario",48,2006,75,"France",4,"Venezuela","yes"
"237","Bonnat","Madagascar",75,2006,75,"France",4,"Madagascar","yes"
"238","Bonnat","Ceylan",81,2006,75,"France",3,"Sri Lanka","yes"
"239","Bonnat","Chuao",81,2006,75,"France",4,"Venezuela","yes"
"240","Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",316,2009,77,"Ecuador",3.25,"Ecuador","yes"
"241","Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",341,2009,100,"Ecuador",1.5,"Ecuador","yes"
"242","Bowler Man","Maya Mountain",1267,2014,70,"U.S.A.",2.75,"Belize","yes"
"243","Bowler Man","Conacado",1271,2014,70,"U.S.A.",2.75,"Dominican Republic","yes"
"244","Brasstown aka It's Chocolate","Guasare, Zulia Prov.",1868,2016,70,"U.S.A.",3.5,"Venezuela","yes"
"245","Brasstown aka It's Chocolate","O'payo, Waslala",1868,2016,70,"U.S.A.",3.75,"Nicaragua","yes"
"246","Brasstown aka It's Chocolate","Conacado",1462,2015,68,"U.S.A.",3.75,"Dominican Republic","yes"
"247","Brasstown aka It's Chocolate","Maya Mountain",1255,2014,70,"U.S.A.",3.75,"Belize","yes"
"248","Brasstown aka It's Chocolate","Chuao",1355,2014,70,"U.S.A.",4,"Venezuela","yes"
"249","Brasstown aka It's Chocolate","Cooproagro",1125,2013,72,"U.S.A.",3,"Dominican Republic","yes"
"250","Brasstown aka It's Chocolate","Camino Verde, Guayas",1125,2013,70,"U.S.A.",3.25,"Ecuador","yes"
"251","Brasstown aka It's Chocolate","Ghana",1129,2013,75,"U.S.A.",3.5,"Ghana","yes"
"252","Brasstown aka It's Chocolate","Chuao, Mantuano blend",1129,2013,85,"U.S.A.",3.5,"Venezuela","yes"
"253","Brazen","Elvesia P.",1514,2015,60,"U.S.A.",3,"Dominican Republic","no"
"254","Brazen","Elvesia P.",1514,2015,80,"U.S.A.",3.25,"Dominican Republic","yes"
"255","Brazen","Alta Verapaz, 2014",1514,2015,70,"U.S.A.",3.5,"Guatemala","yes"
"256","Brazen","Ambolikapiky P.",1518,2015,80,"U.S.A.",2.75,"Madagascar","yes"
"257","Brazen","Maya Mountain",1518,2015,80,"U.S.A.",3.25,"Belize","yes"
"258","Brazen","Ambolikapkly P.",1518,2015,60,"U.S.A.",3.25,"Madagascar","no"
"259","Breeze Mill","Jamaica",1149,2013,70,"U.S.A.",3,"Jamaica","yes"
"260","Bright","Somia Plantation",1231,2014,72,"Australia",3,"Madagascar","yes"
"261","Bright","Marabel Farms",1231,2014,70,"Australia",3.5,"Dominican Republic","yes"
"262","Bright","Camino Verde, Balao, Guayas",1231,2014,72,"Australia",3.5,"Ecuador","yes"
"263","Bright","Gran Couva",1235,2014,68,"Australia",2.75,"Trinidad","yes"
"264","Britarev","Ecuador",1638,2015,70,"Russia",3.25,"Ecuador","yes"
"265","Bronx Grrl Chocolate","Dominican Republic",1181,2013,68,"U.S.A.",2.75,"Dominican Republic","yes"
"266","Burnt Fork Bend","Trinidad",1299,2014,72,"U.S.A.",3.25,"Trinidad","yes"
"267","Burnt Fork Bend","Mindo",1299,2014,72,"U.S.A.",3.5,"Ecuador","yes"
"268","Burnt Fork Bend","Belize",1303,2014,72,"U.S.A.",3.25,"Belize","yes"
"269","Burnt Fork Bend","Ecuador, Bob Bar",1323,2014,60,"U.S.A.",2.5,"Ecuador","no"
"270","Cacao Arabuco","Puerto Rico",1606,2015,70,"Puerto Rico",2.5,"Puerto Rico","yes"
"271","Cacao Atlanta","Tumbes",1215,2014,75,"U.S.A.",2.5,"Peru","yes"
"272","Cacao Atlanta","Dominican Republic, ""Love Bar""",502,2010,75,"U.S.A.",2.5,"Dominican Republic","yes"
"273","Cacao Atlanta","Dominican Republic w/ nibs",502,2010,75,"U.S.A.",2.75,"Dominican Republic","yes"
"274","Cacao Atlanta","Patanemo",600,2010,75,"U.S.A.",2.25,"Venezuela","yes"
"275","Cacao Barry","Grand 'Anse",1716,2016,65,"France",3.5,"Haiti","yes"
"276","Cacao Barry","Santo Domingo",586,2010,70,"France",3,"Dominican Republic","yes"
"277","Cacao Barry","Tanzania",300,2008,75,"France",2,"Tanzania","yes"
"278","Cacao Barry","Venezuela",141,2007,72,"France",2,"Venezuela","yes"
"279","Cacao Barry","Mexico",147,2007,66,"France",3,"Mexico","yes"
"280","Cacao de Origen","Chuao",1688,2015,77,"Venezuela",3.5,"Venezuela","yes"
"281","Cacao de Origen","Rio Caribe",1692,2015,75,"Venezuela",3.25,"Venezuela","yes"
"282","Cacao de Origen","Agua Fria; Sucre region",1391,2014,75,"Venezuela",2.5,"Venezuela","yes"
"283","Cacao de Origen","Macuare; Miranda; Chloe formula",1391,2014,74,"Venezuela",3.25,"Venezuela","yes"
"284","Cacao de Origen","Chuao, Aragua region",1391,2014,75,"Venezuela",3.5,"Venezuela","yes"
"285","Cacao de Origen","Chuao, Aragua region",1395,2014,70,"Venezuela",3.75,"Venezuela","yes"
"286","Cacao de Origin","Hacienda la Trinidad",1668,2015,74,"Venezuela",3.25,"Venezuela","yes"
"287","Cacao Hunters","Macondo",1816,2016,71,"Colombia",3.75,"Colombia","yes"
"288","Cacao Hunters","Perla Negra",1816,2016,74,"Colombia",3.75,"Colombia","yes"
"289","Cacao Hunters","Arhuacos",1662,2015,72,"Colombia",3.75,"Colombia","yes"
"290","Cacao Hunters","Sierra Nevada",1430,2014,64,"Colombia",3.5,"Colombia","yes"
"291","Cacao Hunters","Tumaco",1430,2014,70,"Colombia",3.5,"Colombia","yes"
